iso_i,iso_n,country_i,country_n,date,dD_hat_c,dS_hat_c
CAN,GRC,canada,greece,162,0.94224659,0.94169908
CAN,IND,canada,india,162,0.84923717,1.4313938
CAN,ITA,canada,italy,162,1.0753928,0.92243352
CAN,JPN,canada,japan,162,1.058929,0.96293628
CAN,MEX,canada,mexico,162,1.0811292,1.0648489
CAN,POL,canada,poland,162,1.2196886,1.0384978
CAN,ROU,canada,romania,162,1.2163764,1.0260827
CAN,KOR,canada,southkorea,162,1.0119297,1.0749367
CAN,ESP,canada,spain,162,0.95687968,0.90591177
CAN,SWE,canada,sweden,162,0.98279118,1.0152958
CAN,GBR,canada,unitedkingdom,162,0.98613137,0.91357616
CAN,USA,canada,unitedstates,162,1.0606878,0.99374816
CAN,ROW,canada,zz_row,162,1.0544041,0.99192182
CZE,AUT,czechrepublic,austria,162,1.0073956,0.99539864
CZE,CAN,czechrepublic,canada,162,0.98836082,0.87262737
CZE,CZE,czechrepublic,czechrepublic,162,1,1
CZE,DNK,czechrepublic,denmark,162,1.0762467,1.016086
CZE,FIN,czechrepublic,finland,162,0.92112508,0.93273358
CZE,DEU,czechrepublic,germany,162,1.0172057,0.97817263
CZE,GRC,czechrepublic,greece,162,0.83471968,1.0390648
CZE,IND,czechrepublic,india,162,0.9350744,1.0509546
CZE,ITA,czechrepublic,italy,162,0.90087605,0.95087644
CZE,JPN,czechrepublic,japan,162,0.96671034,0.81191316
CZE,MEX,czechrepublic,mexico,162,1.5519128,1.1150501
CZE,POL,czechrepublic,poland,162,0.9991105,1.0338422
CZE,ROU,czechrepublic,romania,162,1.0283191,1.0041809
CZE,KOR,czechrepublic,southkorea,162,0.96690332,0.91707791
CZE,ESP,czechrepublic,spain,162,0.90335235,0.97162848
CZE,SWE,czechrepublic,sweden,162,1.0185982,0.99767964
CZE,GBR,czechrepublic,unitedkingdom,162,0.92004888,0.96434298
CZE,USA,czechrepublic,unitedstates,162,1.0201718,1.013373
CZE,ROW,czechrepublic,zz_row,162,0.9775901,1.0220117
DNK,AUT,denmark,austria,162,0.95242228,0.80873503
DNK,CAN,denmark,canada,162,0.83536614,1.0142685
DNK,CZE,denmark,czechrepublic,162,0.96665179,0.89843495
DNK,DNK,denmark,denmark,162,1,1
DNK,FIN,denmark,finland,162,0.91067064,0.93720876
DNK,DEU,denmark,germany,162,0.93499468,0.98721
DNK,GRC,denmark,greece,162,0.82180852,0.96730639
DNK,IND,denmark,india,162,0.83650365,0.84925433
DNK,ITA,denmark,italy,162,0.8974802,0.93611942
DNK,JPN,denmark,japan,162,1.0393963,0.8462811
DNK,MEX,denmark,mexico,162,0.98396474,0.94953628
DNK,POL,denmark,poland,162,0.96975158,1.0303419
DNK,ROU,denmark,romania,162,0.93560493,0.99359833
DNK,KOR,denmark,southkorea,162,1.0514276,1.1196989
DNK,ESP,denmark,spain,162,0.91654319,0.95533448
DNK,SWE,denmark,sweden,162,0.8909967,0.95313824
DNK,GBR,denmark,unitedkingdom,162,0.85738111,0.97252206
DNK,USA,denmark,unitedstates,162,0.9951332,0.94778052
DNK,ROW,denmark,zz_row,162,0.91256604,0.9329792
FIN,AUT,finland,austria,162,1.090882,0.96512857
FIN,CAN,finland,canada,162,1.0250747,1.0193487
FIN,CZE,finland,czechrepublic,162,0.96432001,1.0044373
FIN,DNK,finland,denmark,162,1.0133833,0.97809967
FIN,FIN,finland,finland,162,1,1
FIN,DEU,finland,germany,162,1.0528003,0.98301969
FIN,GRC,finland,greece,162,1.373229,0.95048334
FIN,IND,finland,india,162,0.79599225,0.83859136
FIN,ITA,finland,italy,162,0.72629385,0.91729779
FIN,JPN,finland,japan,162,1.144065,0.97840143
FIN,MEX,finland,mexico,162,0.93431151,0.99010321
FIN,POL,finland,poland,162,0.85536812,1.0328721
